[16:32:03.600] | INFO  | main                             | WebDriver                        | РўРµСЃС‚ РЅР°С‡Р°С‚
[16:32:05.869] | INFO  | main                             | WebDriver                        | Р”СЂР°Р№РІРµСЂ РїРѕРґРЅСЏС‚
[16:33:11.318] | INFO  | main                             | WebDriver                        | РўРµСЃС‚ РЅР°С‡Р°С‚
[16:33:13.535] | INFO  | main                             | WebDriver                        | Р”СЂР°Р№РІРµСЂ РїРѕРґРЅСЏС‚
[16:34:43.231] | INFO  | main                             | WebDriver                        | РўРµСЃС‚ РЅР°С‡Р°С‚
[16:34:45.382] | INFO  | main                             | WebDriver                        | Р”СЂР°Р№РІРµСЂ РїРѕРґРЅСЏС‚
[16:36:33.983] | INFO  | main                             | WebDriver                        | РўРµСЃС‚ РЅР°С‡Р°С‚
[16:36:36.100] | INFO  | main                             | WebDriver                        | Р”СЂР°Р№РІРµСЂ РїРѕРґРЅСЏС‚
[16:36:57.941] | INFO  | main                             | WebDriver                        | РўРµСЃС‚ РЅР°С‡Р°С‚
[16:37:00.084] | INFO  | main                             | WebDriver                        | Р”СЂР°Р№РІРµСЂ РїРѕРґРЅСЏС‚
[16:37:15.836] | INFO  | main                             | WebDriver                        | Р”СЂР°Р№РІРµСЂ РїРѕРґРЅСЏС‚
[16:37:24.339] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° РёРјРµРЅРё
[16:37:24.361] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.361] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° name
[16:37:24.383] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.383] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° С„РёРјРёР»РёРё
[16:37:24.418] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.419] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° surname
[16:37:24.439] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.439] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° nickname
[16:37:24.459] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.459] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° birthday 
[16:37:24.478] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.478] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° СЃС‚СЂР°РЅС‹
[16:37:24.500] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.501] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° РіРѕСЂРѕРґР°
[16:37:24.536] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.536] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° СѓСЂРѕРІРЅСЏ Р°РЅРіР»РёР№СЃРєРѕРіРѕ
[16:37:24.555] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.555] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° С‚РёРїР° РєРѕРЅС‚Р°РєС‚Р°, РІС‹Р±СЂР°РЅ Skype
[16:37:24.607] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.607] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° Р·РЅР°С‡РµРЅРёСЏ РєРѕРЅС‚Р°РєС‚Р°, РІС‹Р±СЂР°РЅ Skype
[16:37:24.629] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.629] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° С‚РёРїР° РєРѕРЅС‚Р°РєС‚Р°, РІС‹Р±СЂР°РЅ Рўelegram
[16:37:24.647] | INFO  | main                             | WebDriver                        | РћРљ
[16:37:24.647] | INFO  | main                             | WebDriver                        | РџСЂРѕРІРµСЂРєР° Р·РЅР°С‡РµРЅРёСЏ РєРѕРЅС‚Р°РєС‚Р°, РІС‹Р±СЂР°РЅ Рўelegram
[16:37:24.667] | INFO  | main                             | WebDriver                        | РћРљ
[16:38:10.882] | INFO  | main                             | WebDriver                        | РўРµСЃС‚ РЅР°С‡Р°С‚
[16:38:13.070] | INFO  | main                             | WebDriver                        | Р”СЂР°Р№РІРµСЂ РїРѕРґРЅСЏС‚
[16:38:27.385] | INFO  | main                             | WebDriver                        | Тест начат
[16:38:29.545] | INFO  | main                             | WebDriver                        | Драйвер поднят
[16:38:46.884] | INFO  | main                             | WebDriver                        | Драйвер поднят
[16:38:55.003] | INFO  | main                             | WebDriver                        | Проверка имени
[16:38:55.039] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.039] | INFO  | main                             | WebDriver                        | Проверка name
[16:38:55.059] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.059] | INFO  | main                             | WebDriver                        | Проверка фимилии
[16:38:55.079] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.079] | INFO  | main                             | WebDriver                        | Проверка surname
[16:38:55.099] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.099] | INFO  | main                             | WebDriver                        | Проверка nickname
[16:38:55.120] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.120] | INFO  | main                             | WebDriver                        | Проверка birthday 
[16:38:55.140] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.140] | INFO  | main                             | WebDriver                        | Проверка страны
[16:38:55.164] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.164] | INFO  | main                             | WebDriver                        | Проверка города
[16:38:55.202] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.202] | INFO  | main                             | WebDriver                        | Проверка уровня английского
[16:38:55.236] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.236] | INFO  | main                             | WebDriver                        | Проверка типа контакта, выбран Skype
[16:38:55.257] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.257] | INFO  | main                             | WebDriver                        | Проверка значения контакта, выбран Skype
[16:38:55.287] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.287] | INFO  | main                             | WebDriver                        | Проверка типа контакта, выбран Тelegram
[16:38:55.306] | INFO  | main                             | WebDriver                        | ОК
[16:38:55.306] | INFO  | main                             | WebDriver                        | Проверка значения контакта, выбран Тelegram
[16:38:55.326] | INFO  | main                             | WebDriver                        | ОК
